date fips state cases deaths
2020-01-21 53 Washington 1 0
2020-01-22 53 Washington 1 0
2020-01-23 53 Washington 1 0
2020-01-24 17 Illinois 1 0
2020-01-24 53 Washington 1 0
2020-01-25 06 California 1 0
2020-01-25 17 Illinois 1 0
2020-01-25 53 Washington 1 0
2020-01-26 04 Arizona 1 0
2020-01-26 06 California 2 0
2020-01-26 17 Illinois 1 0
2020-01-26 53 Washington 1 0
2020-01-27 04 Arizona 1 0
2020-01-27 06 California 2 0
2020-01-27 17 Illinois 1 0
2020-01-27 53 Washington 1 0
2020-01-28 04 Arizona 1 0
2020-01-28 06 California 2 0
2020-01-28 17 Illinois 1 0
2020-01-28 53 Washington 1 0
2020-01-29 04 Arizona 1 0
2020-01-29 06 California 2 0
2020-01-29 17 Illinois 1 0
2020-01-29 53 Washington 1 0
2020-01-30 04 Arizona 1 0
2020-01-30 06 California 2 0
2020-01-30 17 Illinois 2 0
2020-01-30 53 Washington 1 0
2020-01-31 04 Arizona 1 0
2020-01-31 06 California 3 0
2020-01-31 17 Illinois 2 0
2020-01-31 53 Washington 1 0
2020-02-01 04 Arizona 1 0
2020-02-01 06 California 3 0
2020-02-01 17 Illinois 2 0
2020-02-01 25 Massachusetts 1 0
2020-02-01 53 Washington 1 0
2020-02-02 04 Arizona 1 0
2020-02-02 06 California 6 0
2020-02-02 17 Illinois 2 0
2020-02-02 25 Massachusetts 1 0
2020-02-02 53 Washington 1 0
2020-02-03 04 Arizona 1 0
2020-02-03 06 California 6 0
2020-02-03 17 Illinois 2 0
2020-02-03 25 Massachusetts 1 0
2020-02-03 53 Washington 1 0
2020-02-04 04 Arizona 1 0
2020-02-04 06 California 6 0
2020-02-04 17 Illinois 2 0
2020-02-04 25 Massachusetts 1 0
2020-02-04 53 Washington 1 0
2020-02-05 04 Arizona 1 0
2020-02-05 06 California 6 0
2020-02-05 17 Illinois 2 0
2020-02-05 25 Massachusetts 1 0
2020-02-05 53 Washington 1 0
2020-02-05 55 Wisconsin 1 0
2020-02-06 04 Arizona 1 0
2020-02-06 06 California 6 0
2020-02-06 17 Illinois 2 0
2020-02-06 25 Massachusetts 1 0
2020-02-06 53 Washington 1 0
2020-02-06 55 Wisconsin 1 0
2020-02-07 04 Arizona 1 0
2020-02-07 06 California 6 0
2020-02-07 17 Illinois 2 0
2020-02-07 25 Massachusetts 1 0
2020-02-07 53 Washington 1 0
2020-02-07 55 Wisconsin 1 0
2020-02-08 04 Arizona 1 0
2020-02-08 06 California 6 0
2020-02-08 17 Illinois 2 0
2020-02-08 25 Massachusetts 1 0
2020-02-08 53 Washington 1 0
2020-02-08 55 Wisconsin 1 0
2020-02-09 04 Arizona 1 0
2020-02-09 06 California 6 0
2020-02-09 17 Illinois 2 0
2020-02-09 25 Massachusetts 1 0
2020-02-09 53 Washington 1 0
2020-02-09 55 Wisconsin 1 0
2020-02-10 04 Arizona 1 0
2020-02-10 06 California 7 0
2020-02-10 17 Illinois 2 0
2020-02-10 25 Massachusetts 1 0
2020-02-10 53 Washington 1 0
2020-02-10 55 Wisconsin 1 0
2020-02-11 04 Arizona 1 0
2020-02-11 06 California 7 0
2020-02-11 17 Illinois 2 0
2020-02-11 25 Massachusetts 1 0
2020-02-11 53 Washington 1 0
2020-02-11 55 Wisconsin 1 0
2020-02-12 04 Arizona 1 0
2020-02-12 06 California 7 0
2020-02-12 17 Illinois 2 0
2020-02-12 25 Massachusetts 1 0
2020-02-12 48 Texas 1 0
2020-02-12 53 Washington 1 0
2020-02-12 55 Wisconsin 1 0
2020-02-13 04 Arizona 1 0
2020-02-13 06 California 7 0
2020-02-13 17 Illinois 2 0
2020-02-13 25 Massachusetts 1 0
2020-02-13 48 Texas 2 0
2020-02-13 53 Washington 1 0
2020-02-13 55 Wisconsin 1 0
2020-02-14 04 Arizona 1 0
2020-02-14 06 California 7 0
2020-02-14 17 Illinois 2 0
2020-02-14 25 Massachusetts 1 0
2020-02-14 48 Texas 2 0
2020-02-14 53 Washington 1 0
2020-02-14 55 Wisconsin 1 0
2020-02-15 04 Arizona 1 0
2020-02-15 06 California 7 0
2020-02-15 17 Illinois 2 0
2020-02-15 25 Massachusetts 1 0
2020-02-15 48 Texas 2 0
2020-02-15 53 Washington 1 0
2020-02-15 55 Wisconsin 1 0
2020-02-16 04 Arizona 1 0
2020-02-16 06 California 7 0
2020-02-16 17 Illinois 2 0
2020-02-16 25 Massachusetts 1 0
2020-02-16 48 Texas 2 0
2020-02-16 53 Washington 1 0
2020-02-16 55 Wisconsin 1 0
2020-02-17 04 Arizona 1 0
2020-02-17 06 California 7 0
2020-02-17 17 Illinois 2 0
2020-02-17 25 Massachusetts 1 0
2020-02-17 31 Nebraska 10 0
2020-02-17 48 Texas 2 0
